Dcode,Mcode,District,Mandal,Date,Rain (mm),Temp Min (°C),Temp Max (°C),Humidity Min (%),Humidity Max (%),Wind Speed Min (Kmph),Wind Speed Max (Kmph)
1,1,Adilabad,Bheempoor,2020-10-01,0.0,23.3,33.7,66.8,96.0,0.0,1.4
1,1,Adilabad,Bheempoor,2020-10-02,0.0,23.4,33.6,66.1,95.9,0.0,1.6
1,1,Adilabad,Bheempoor,2020-10-03,0.0,23.2,35.2,53.8,74.9,0.6,2.0
1,1,Adilabad,Bheempoor,2020-10-04,0.0,22.1,34.4,43.9,85.2,0.2,5.9
1,1,Adilabad,Bheempoor,2020-10-05,0.0,20.6,35.5,47.9,95.5,0.0,1.2
1,1,Adilabad,Bheempoor,2020-10-06,0.0,21.7,35.0,44.3,94.9,0.0,2.3
1,1,Adilabad,Bheempoor,2020-10-07,0.0,24.3,33.3,51.7,93.3,0.0,1.6
1,1,Adilabad,Bheempoor,2020-10-08,2.3,21.9,26.7,78.3,99.0,0.0,1.5
1,1,Adilabad,Bheempoor,2020-10-09,0.0,23.5,31.7,72.8,99.3,0.0,1.1
1,1,Adilabad,Bheempoor,2020-10-10,0.0,23.1,32.9,70.7,96.9,0.1,0.9
1,1,Adilabad,Bheempoor,2020-10-11,0.0,23.6,34.7,61.1,94.8,0.0,3.0
1,1,Adilabad,Bheempoor,2020-10-12,20.6,22.6,31.8,69.9,97.4,0.0,5.4
1,1,Adilabad,Bheempoor,2020-10-13,0.0,23.2,33.2,71.1,99.5,0.1,0.9
1,1,Adilabad,Bheempoor,2020-10-14,0.0,25.1,30.7,71.2,88.0,0.0,1.3
1,1,Adilabad,Bheempoor,2020-10-15,0.0,24.1,31.1,71.8,96.5,0.1,6.3
1,1,Adilabad,Bheempoor,2020-10-16,0.0,24.1,29.5,82.8,99.3,0.0,1.6
1,1,Adilabad,Bheempoor,2020-10-17,0.0,24.6,31.4,74.1,98.8,0.0,1.4
1,1,Adilabad,Bheempoor,2020-10-18,5.8,23.3,33.1,69.5,99.3,0.0,1.4
1,1,Adilabad,Bheempoor,2020-10-19,2.3,23.1,34.3,70.2,99.3,0.0,0.8
1,1,Adilabad,Bheempoor,2020-10-20,0.0,22.7,33.4,70.4,99.4,0.0,0.9
1,1,Adilabad,Bheempoor,2020-10-21,0.0,22.1,34.3,61.7,99.0,0.0,1.4
1,1,Adilabad,Bheempoor,2020-10-22,0.0,21.6,33.4,62.0,98.9,0.0,1.2
1,1,Adilabad,Bheempoor,2020-10-23,0.0,19.0,33.8,44.2,98.4,0.0,1.0
1,1,Adilabad,Bheempoor,2020-10-24,0.0,20.2,34.3,44.2,98.2,0.0,0.9
1,1,Adilabad,Bheempoor,2020-10-25,0.0,20.7,34.5,50.8,98.6,0.0,1.2
1,1,Adilabad,Bheempoor,2020-10-26,0.0,21.2,34.2,55.0,98.0,0.0,0.6
1,1,Adilabad,Bheempoor,2020-10-27,0.0,19.7,33.7,51.4,98.5,0.0,2.1
1,1,Adilabad,Bheempoor,2020-10-28,0.0,17.4,33.6,48.7,98.9,0.0,0.6
1,1,Adilabad,Bheempoor,2020-10-29,0.0,15.9,34.6,28.3,98.4,0.0,0.4
1,1,Adilabad,Bheempoor,2020-10-30,0.0,17.7,33.6,38.2,97.8,0.0,0.8
1,1,Adilabad,Bheempoor,2020-10-31,0.0,18.5,32.5,48.2,97.7,0.0,0.7
1,1,Adilabad,Bheempoor,2020-11-01,0.0,15.4,31.5,41.0,97.6,0.0,1.3
1,1,Adilabad,Bheempoor,2020-11-02,0.0,14.5,32.1,38.7,97.6,0.0,2.1
1,1,Adilabad,Bheempoor,2020-11-03,0.0,14.4,32.2,40.9,97.1,0.0,1.5
1,1,Adilabad,Bheempoor,2020-11-04,0.0,13.0,32.2,34.7,97.4,0.0,1.0
1,1,Adilabad,Bheempoor,2020-11-05,0.0,11.0,32.9,29.5,97.6,0.0,1.0
1,1,Adilabad,Bheempoor,2020-11-06,0.0,10.7,33.1,29.7,98.2,0.0,1.1
